Id,Label,Types
1462,VCAN,Seed
8916,HERC3,Protein
1236,CCR7,Protein
4790,NFKB1,Protein
1233,CCR4,Protein
22918,CD93,Seed
2357,FPR1,Seed
771,CA12,Seed
4501,MT1X,Seed
7316,UBC,Protein
79768,KATNBL1,Protein
5597,MAPK6,Protein
57214,CEMIP,Seed
5265,SERPINA1,Seed
27063,ANKRD1,Seed
51009,DERL2,Protein
3958,LGALS3,Protein
1991,ELANE,Protein
10956,OS9,Protein
7415,VCP,Protein
5657,PRTN3,Protein
79001,VKORC1,Protein
3004,GZMM,Protein
5309,PITX3,Protein
4089,SMAD4,Protein
1511,CTSG,Protein
6929,TCF3,Protein
79139,DERL1,Protein
6367,CCL22,Seed
50813,COPS7A,Protein
54918,CMTM6,Protein
5366,PMAIP1,Protein
23256,SCFD1,Protein
213,ALB,Protein
55111,PLEKHJ1,Protein
3575,IL7R,Protein
5473,PPBP,Seed
6354,CCL7,Seed
6462,SHBG,Protein
3563,IL3RA,Seed
51176,LEF1,Protein
960,CD44,Protein
1673,DEFB4A,Protein
2118,ETV4,Protein
1839,HBEGF,Protein
1667,DEFA1,Protein
1672,DEFB1,Protein
2199,FBLN2,Protein
2200,FBN1,Protein
5196,PF4,Protein
3627,CXCL10,Protein
4496,MT1H,Seed
1237,CCR8,Protein
1230,CCR1,Protein
196,AHR,Protein
3172,HNF4A,Protein
80318,GKAP1,Protein
948,CD36,Protein
6927,HNF1A,Protein
6363,CCL19,Seed
6346,CCL1,Seed
4316,MMP7,Seed
6369,CCL24,Seed
4495,MT1G,Seed
1499,CTNNB1,Protein
166,TLE5,Protein
4313,MMP2,Protein
1994,ELAVL1,Protein
1234,CCR5,Protein
1232,CCR3,Protein
1238,ACKR2,Protein
729230,CCR2,Protein
7013,TERF1,Protein
9611,NCOR1,Protein
54386,TERF2IP,Protein
25913,POT1,Protein
4499,MT1M,Seed
9172,MYOM2,Protein
7289,TULP3,Protein
7273,TTN,Protein
8291,DYSF,Protein
84665,MYPN,Protein
397,ARHGDIB,Protein
9924,PAN2,Protein
54165,DCUN1D1,Protein
9034,CCRL2,Protein
3659,IRF1,Protein
5970,RELA,Protein
51554,ACKR4,Protein
3665,IRF7,Protein
2826,CCR10,Protein
55072,RNF31,Protein
6773,STAT2,Protein
5971,RELB,Protein
3663,IRF5,Protein
2,A2M,Protein
10987,COPS5,Protein
4615,MYD88,Protein
1398,CRK,Protein
6366,CCL21,Protein
10755,GIPC1,Protein
5603,MAPK13,Protein
9905,SGSM2,Protein
6478,SIAH2,Protein
5362,PLXNA2,Protein
9507,ADAMTS4,Protein
10049,DNAJB6,Protein
3827,KNG1,Protein
1410,CRYAB,Protein
4312,MMP1,Protein
2908,NR3C1,Protein
4494,MT1F,Seed
4632,MYL1,Protein
354,KLK3,Protein
3562,IL3,Protein
5911,RAP2A,Protein
367,AR,Protein
1404,HAPLN1,Protein
6347,CCL2,Protein
6352,CCL5,Protein
6402,SELL,Protein
4318,MMP9,Protein
6403,SELP,Protein
7412,VCAM1,Protein
1942,EFNA1,Protein
3164,NR4A1,Protein
3577,CXCR1,Protein
3579,CXCR2,Protein
156,GRK2,Protein
5595,MAPK3,Protein
1803,DPP4,Protein
821,CANX,Protein
3290,HSD11B1,Seed
1892,ECHS1,Protein
6383,SDC2,Protein
5646,PRSS3,Protein
509,ATP5F1C,Protein
1523,CUX1,Protein
604,BCL6,Protein
6772,STAT1,Protein
6778,STAT6,Protein
6232,RPS27,Protein
10128,LRPPRC,Protein
6745,SSR1,Protein
7917,BAG6,Protein
653499,LGALS7B,Protein
356,FASLG,Protein
6387,CXCL12,Protein
2729,GCLC,Protein
2833,CXCR3,Protein
84651,SPINK7,Protein
60,ACTB,Protein
10890,RAB10,Protein
1457,CSNK2A1,Protein
6364,CCL20,Protein
6355,CCL8,Protein
4791,NFKB2,Protein
4604,MYBPC1,Protein
10379,IRF9,Protein
667,DST,Protein
4035,LRP1,Protein
1762,DMWD,Protein
10063,COX17,Protein
6404,SELPLG,Protein
3661,IRF3,Protein
55843,ARHGAP15,Protein
79817,MOB3B,Protein
55876,GSDMB,Protein
51109,RDH11,Protein
10658,CELF1,Protein
85021,REPS1,Protein
27248,ERLEC1,Protein
114034,TOE1,Protein
63827,BCAN,Protein
55603,TENT5A,Protein
64215,DNAJC1,Protein
57410,SCYL1,Protein
25898,RCHY1,Protein
9638,FEZ1,Protein
65005,MRPL9,Protein
79003,MIS12,Protein
56729,RETN,Seed
6934,TCF7L2,Protein
29888,STRN4,Protein
54539,NDUFB11,Protein
56886,UGGT1,Protein
9070,ASH2L,Protein
1616,DAXX,Protein
29978,UBQLN2,Protein
26060,APPL1,Protein
26085,KLK13,Protein
22820,COPG1,Protein
